Model,Precision@10,Recall@10,NDCG@10,Coverage,Evaluated Users,Skipped Users
Popularity Baseline,0.1290484140233723,0.10625435419734541,0.17064354863413764,0.005543009648942722,599,11
Hybrid 70/20/10,0.021202003338898164,0.03037239416867131,0.03592329218767635,0.0843769246561281,599,11
Hybrid 60/20/20,0.045909849749582635,0.05535689519379213,0.06729624791219849,0.0607678094847054,599,11
Hybrid 50/30/20,0.06160267111853089,0.07114243085021335,0.08761825950461026,0.0487579552453295,599,11
Hybrid 40/30/30,0.11435726210350584,0.10967086747864654,0.15128256505646812,0.02843358653253952,599,11
Hybrid 30/30/40,0.14574290484140234,0.12775899393361415,0.19419989958458506,0.015397249024840895,599,11
